,k,accuracy,model,epoch
212,8,61.19,hopfield,12
213,8,61.28,hopfield,13
214,8,60.47,hopfield,14
215,8,60.72,hopfield,15
216,8,60.23,hopfield,16
217,8,60.41,hopfield,17
218,8,59.71,hopfield,18
219,8,60.92,hopfield,19
220,8,60.72,hopfield,20
221,8,60.42,hopfield,21
222,8,60.19,hopfield,22
223,8,60.1,hopfield,23
224,8,60.17,hopfield,24
225,8,60.47,hopfield,25
226,8,60.73,hopfield,26
227,8,60.81,hopfield,27
228,8,60.06,hopfield,28
229,8,60.55,hopfield,29
230,8,60.88,hopfield,30
231,8,60.34,hopfield,31
232,8,60.59,hopfield,32
233,8,60.96,hopfield,33
234,8,60.14,hopfield,34
235,8,59.93,hopfield,35
236,8,60.59,hopfield,36
237,8,60.92,hopfield,37
238,8,61.15,hopfield,38
239,8,60.4,hopfield,39
240,8,61.84,hopfield,40
241,8,60.69,hopfield,41
242,8,60.09,hopfield,42
243,8,61.26,hopfield,43
244,8,60.36,hopfield,44
245,8,61.34,hopfield,45
246,8,60.01,hopfield,46
247,8,61.26,hopfield,47
248,8,60.67,hopfield,48
249,8,60.56,hopfield,49
250,8,60.75,hopfield,50
251,8,60.88,hopfield,51
252,8,60.38,hopfield,52
253,8,60.7,hopfield,53
254,8,60.0,hopfield,54
255,8,61.14,hopfield,55
256,8,59.72,hopfield,56
257,8,60.77,hopfield,57
258,8,61.08,hopfield,58
259,8,60.82,hopfield,59
260,8,60.44,hopfield,60
261,8,61.39,hopfield,61
262,8,60.94,hopfield,62
263,8,61.32,hopfield,63
264,8,61.95,hopfield,64
265,8,61.35,hopfield,65
266,8,60.69,hopfield,66
267,8,60.9,hopfield,67
268,8,61.36,hopfield,68
269,8,61.01,hopfield,69
270,8,60.47,hopfield,70
271,8,60.62,hopfield,71
272,8,60.59,hopfield,72
273,8,60.45,hopfield,73
274,8,60.77,hopfield,74
275,8,61.09,hopfield,75
276,8,59.77,hopfield,76
277,8,60.78,hopfield,77
278,8,61.12,hopfield,78
279,8,61.86,hopfield,79
280,8,60.5,hopfield,80
281,8,60.67,hopfield,81
282,8,60.96,hopfield,82
283,8,61.78,hopfield,83
284,8,61.35,hopfield,84
285,8,61.12,hopfield,85
286,8,61.95,hopfield,86
287,8,61.0,hopfield,87
288,8,60.87,hopfield,88
289,8,60.81,hopfield,89
290,8,61.65,hopfield,90
291,8,61.68,hopfield,91
292,8,60.94,hopfield,92
293,8,61.07,hopfield,93
294,8,60.03,hopfield,94
295,8,61.26,hopfield,95
296,8,61.72,hopfield,96
297,8,61.74,hopfield,97
298,8,61.13,hopfield,98
299,8,61.49,hopfield,99
300,16,51.65,hopfield,0
301,16,56.97,hopfield,1
302,16,58.38,hopfield,2
303,16,60.16,hopfield,3
304,16,61.05,hopfield,4
305,16,60.53,hopfield,5
306,16,60.99,hopfield,6
