,k,accuracy,model,epoch
212,4,26.14,hopfield,2
213,4,25.07,hopfield,3
214,4,23.66,hopfield,4
215,4,24.6,hopfield,5
216,4,26.45,hopfield,6
217,4,27.55,hopfield,7
218,4,28.73,hopfield,8
219,4,28.8,hopfield,9
220,4,27.62,hopfield,10
221,4,27.4,hopfield,11
222,4,27.08,hopfield,12
223,4,27.51,hopfield,13
224,4,27.93,hopfield,14
225,4,28.7,hopfield,15
226,4,29.04,hopfield,16
227,4,28.73,hopfield,17
228,4,28.73,hopfield,18
229,4,28.81,hopfield,19
230,4,29.14,hopfield,20
231,4,29.35,hopfield,21
232,4,29.41,hopfield,22
233,4,30.1,hopfield,23
234,4,30.37,hopfield,24
235,4,30.5,hopfield,25
236,4,30.65,hopfield,26
237,4,30.83,hopfield,27
238,4,31.16,hopfield,28
239,4,31.04,hopfield,29
240,8,19.32,hopfield,0
241,8,21.84,hopfield,1
242,8,24.02,hopfield,2
243,8,24.95,hopfield,3
244,8,24.9,hopfield,4
245,8,25.92,hopfield,5
246,8,26.7,hopfield,6
247,8,27.98,hopfield,7
248,8,27.2,hopfield,8
249,8,27.27,hopfield,9
250,8,28.47,hopfield,10
251,8,29.15,hopfield,11
252,8,29.56,hopfield,12
253,8,29.46,hopfield,13
254,8,28.7,hopfield,14
255,8,28.85,hopfield,15
256,8,29.06,hopfield,16
257,8,28.86,hopfield,17
258,8,28.84,hopfield,18
259,8,29.35,hopfield,19
260,8,29.77,hopfield,20
261,8,30.33,hopfield,21
262,8,30.96,hopfield,22
263,8,31.08,hopfield,23
264,8,30.85,hopfield,24
265,8,30.76,hopfield,25
266,8,30.57,hopfield,26
267,8,30.57,hopfield,27
268,8,31.2,hopfield,28
269,8,32.06,hopfield,29
270,16,20.47,hopfield,0
271,16,23.64,hopfield,1
272,16,24.46,hopfield,2
273,16,26.25,hopfield,3
274,16,25.44,hopfield,4
275,16,25.39,hopfield,5
276,16,26.48,hopfield,6
277,16,26.59,hopfield,7
278,16,25.45,hopfield,8
279,16,25.51,hopfield,9
280,16,25.66,hopfield,10
281,16,25.4,hopfield,11
282,16,26.25,hopfield,12
283,16,27.71,hopfield,13
284,16,28.59,hopfield,14
285,16,27.86,hopfield,15
286,16,27.77,hopfield,16
287,16,27.33,hopfield,17
288,16,27.71,hopfield,18
289,16,28.09,hopfield,19
290,16,28.56,hopfield,20
291,16,28.18,hopfield,21
292,16,27.56,hopfield,22
293,16,27.27,hopfield,23
294,16,27.52,hopfield,24
295,16,28.63,hopfield,25
296,16,29.96,hopfield,26
297,16,30.88,hopfield,27
298,16,31.05,hopfield,28
299,16,31.35,hopfield,29
300,4,13.82,hopfield,0
301,4,21.86,hopfield,1
302,4,26.9,hopfield,2
303,4,34.62,hopfield,3
304,4,42.09,hopfield,4
305,4,43.12,hopfield,5
306,4,42.96,hopfield,6
307,4,43.49,hopfield,7
308,4,43.88,hopfield,8
309,4,44.67,hopfield,9
310,4,45.16,hopfield,10
311,4,46.21,hopfield,11
312,4,46.93,hopfield,12
313,4,47.74,hopfield,13
314,4,48.33,hopfield,14
315,4,48.8,hopfield,15
316,4,49.41,hopfield,16
317,4,49.42,hopfield,17
318,4,49.65,hopfield,18
319,4,50.22,hopfield,19
320,4,50.57,hopfield,20
321,4,50.99,hopfield,21
322,4,51.37,hopfield,22
323,4,52.2,hopfield,23
324,4,52.52,hopfield,24
325,4,52.93,hopfield,25
326,4,53.7,hopfield,26
327,4,54.33,hopfield,27
328,4,54.88,hopfield,28
329,4,55.34,hopfield,29
330,8,16.0,hopfield,0
331,8,13.42,hopfield,1
332,8,24.66,hopfield,2
333,8,23.6,hopfield,3
334,8,28.73,hopfield,4
335,8,35.48,hopfield,5
336,8,40.18,hopfield,6
337,8,45.42,hopfield,7
338,8,50.96,hopfield,8
339,8,53.67,hopfield,9
340,8,54.71,hopfield,10
341,8,56.32,hopfield,11
342,8,57.04,hopfield,12
343,8,58.31,hopfield,13
344,8,60.5,hopfield,14
345,8,62.6,hopfield,15
346,8,63.56,hopfield,16
347,8,63.51,hopfield,17
348,8,63.48,hopfield,18
349,8,63.29,hopfield,19
350,8,62.74,hopfield,20
351,8,62.42,hopfield,21
352,8,62.86,hopfield,22
353,8,63.55,hopfield,23
354,8,64.51,hopfield,24
355,8,64.99,hopfield,25
356,8,65.0,hopfield,26
357,8,64.34,hopfield,27
358,8,64.82,hopfield,28
359,8,65.68,hopfield,29
360,16,22.46,hopfield,0
361,16,21.42,hopfield,1
362,16,21.62,hopfield,2
363,16,22.06,hopfield,3
364,16,29.36,hopfield,4
365,16,34.98,hopfield,5
366,16,38.78,hopfield,6
367,16,39.54,hopfield,7
368,16,41.87,hopfield,8
369,16,42.68,hopfield,9
370,16,44.9,hopfield,10
371,16,46.58,hopfield,11
372,16,47.63,hopfield,12
373,16,48.76,hopfield,13
374,16,49.87,hopfield,14
375,16,51.12,hopfield,15
376,16,52.13,hopfield,16
377,16,52.91,hopfield,17
378,16,53.98,hopfield,18
379,16,53.72,hopfield,19
380,16,53.14,hopfield,20
381,16,53.64,hopfield,21
382,16,53.43,hopfield,22
383,16,52.84,hopfield,23
384,16,52.62,hopfield,24
385,16,53.97,hopfield,25
386,16,55.62,hopfield,26
387,16,57.0,hopfield,27
388,16,58.21,hopfield,28
389,16,58.76,hopfield,29
